Character Name,Line ID,Path,Ch Name Diff,Character ID,Character Name (copy),Main Character,Name in Caps,Relation,Relation - Negative,Relation - Negative (copy 2),Relation - Neutral,Relation - Neutral (copy),Relation - Positive,Relation - Positive (copy 2),Relation Sentiment,Relationship,Set ID,Synergy Type,URL,1,Number of Records,S.No.,X,Y
Agent Venom,9,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Teammates,,,,,,Teammates,Positive,,2,Normal,,1,1,17,3876.19458,8527.18457
Drax,9,2,Drax,30,Drax,Agent Venom,DRAX,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Agent Venom - ,2,Normal,,1,1,18,3401.558594,8223.476563
Agent Venom,10,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Teammates,,,,,,Teammates,Positive,,2,Normal,,1,1,19,3876.19458,8527.18457
Gamora,10,2,Gamora,35,Gamora,Agent Venom,GAMORA,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Agent Venom - ,2,Normal,,1,1,20,9318.688477,5116.310547
Agent Venom,11,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Teammates,,,,,,Teammates,Positive,,2,Normal,,1,1,21,3876.19458,8527.18457
Groot,11,2,Groot,38,Groot,Agent Venom,GROOT,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Agent Venom - ,2,Normal,,1,1,22,8432.701172,2406.301514
Agent Venom,12,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Teammates,,,,,,Teammates,Positive,,2,Perfect,,1,1,23,3876.19458,8527.18457
Red Hulk,12,2,Red Hulk,82,Red Hulk,Agent Venom,RED HULK,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Agent Venom - ,2,Perfect,,1,1,24,5410.851074,537.3294678
Agent Venom,13,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Idol,,,,,,Idol,Positive,,2,Normal,,1,1,25,3876.19458,8527.18457
Spider-Man (Classic),13,2,Spider-Man (Classic),92,Spider-Man (Classic),Agent Venom,SPIDER-MAN (CLASSIC),Idol,,,,,Idol,Idol,Positive,Relationship with Agent Venom - ,2,Normal,,1,1,26,2705.425537,9438.308594
Agent Venom,14,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Family,,,,,,Family,Positive,,2,Reciprocal,,1,1,27,3876.19458,8527.18457
Spider-Man (Symbiote),14,2,Spider-Man (Symbiote),95,Spider-Man (Symbiote),Agent Venom,SPIDER-MAN (SYMBIOTE),Family,,,,,Family,Family,Positive,Relationship with Agent Venom - ,2,Reciprocal,,1,1,28,5474.13623,7102.093262
Agent Venom,15,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Family,,,,,,Family,Positive,,2,Normal,,1,1,29,3876.19458,8527.18457
Venom,15,2,Venom,107,Venom,Agent Venom,VENOM,Family,,,,,Family,Family,Positive,Relationship with Agent Venom - ,2,Normal,,1,1,30,2404.822754,9508.394531
Agent Venom,16,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Family,,,,,,Family,Positive,,2,Reciprocal,,1,1,31,3876.19458,8527.18457
Venompool,16,2,Venompool,108,Venompool,Agent Venom,VENOMPOOL,Family,,,,,Family,Family,Positive,Relationship with Agent Venom - ,2,Reciprocal,,1,1,32,9033.90625,4929.413574
Agent Venom,17,1,,2,Agent Venom,Agent Venom,AGENT VENOM,Teammates,,,,,,Teammates,Positive,,2,Normal,,1,1,33,3876.19458,8527.18457
Wolverine (X-23),17,2,Wolverine (X-23),116,Wolverine (X-23),Agent Venom,WOLVERINE (X-23),Teammates,,,,,Teammates,Teammates,Positive,Relationship with Agent Venom - ,2,Normal,,1,1,34,2705.425537,7452.525879
Angela,18,1,,3,Angela,Angela,ANGELA,Friends,,,,,,Friends,Positive,,3,Normal,,1,1,35,7056.256348,3901.479004
Gamora,18,2,Gamora,35,Gamora,Angela,GAMORA,Friends,,,,,Friends,Friends,Positive,Relationship with Angela - ,3,Normal,,1,1,36,9318.688477,5116.310547
Angela,19,1,,3,Angela,Angela,ANGELA,Friends,,,,,,Friends,Positive,,3,Normal,,1,1,37,7056.256348,3901.479004
Groot,19,2,Groot,38,Groot,Angela,GROOT,Friends,,,,,Friends,Friends,Positive,Relationship with Angela - ,3,Normal,,1,1,38,8432.701172,2406.301514
Angela,20,1,,3,Angela,Angela,ANGELA,Queen of Hel,,,,Queen of Hel,,,Neutral,,3,Normal,,1,1,39,7056.256348,3901.479004
Hela,20,2,Hela,42,Hela,Angela,HELA,Queen of Hel,,,Queen of Hel,Queen of Hel,,,Neutral,Relationship with Angela - ,3,Normal,,1,1,40,7973.88623,8690.719727
Angela,21,1,,3,Angela,Angela,ANGELA,Family,,,,,,Family,Positive,,3,Normal,,1,1,41,7056.256348,3901.479004
Loki,21,2,Loki,61,Loki,Angela,LOKI,Family,,,,,Family,Family,Positive,Relationship with Angela - ,3,Normal,,1,1,42,9018.084961,9635.300781
Angela,22,1,,3,Angela,Angela,ANGELA,Romance,,,,,,Romance,Positive,,3,Normal,,1,1,43,7056.256348,3901.479004
M.O.D.O.K.,22,2,M.O.D.O.K.,63,M.O.D.O.K.,Angela,M.O.D.O.K.,Romance,,,,,Romance,Romance,Positive,Relationship with Angela - ,3,Normal,,1,1,44,5980.414551,537.3294678
Angela,23,1,,3,Angela,Angela,ANGELA,Warrior Queens,,,,Warrior Queens,,,Neutral,,3,Normal,,1,1,45,7056.256348,3901.479004
Morningstar,23,2,Morningstar,71,Morningstar,Angela,MORNINGSTAR,Warrior Queens,,,Warrior Queens,Warrior Queens,,,Neutral,Relationship with Angela - ,3,Normal,,1,1,46,2926.922363,6284.418457
Angela,24,1,,3,Angela,Angela,ANGELA,Friends,,,,,,Friends,Positive,,3,Normal,,1,1,47,7056.256348,3901.479004
Rocket Raccoon,24,2,Rocket Raccoon,84,Rocket Raccoon,Angela,ROCKET RACCOON,Friends,,,,,Friends,Friends,Positive,Relationship with Angela - ,3,Normal,,1,1,48,4081.870361,6214.331543
Angela,25,1,,3,Angela,Angela,ANGELA,Friends,,,,,,Friends,Positive,,3,Normal,,1,1,49,7056.256348,3901.479004
Star-Lord,25,2,Star-Lord,96,Star-Lord,Angela,STAR-LORD,Friends,,,,,Friends,Friends,Positive,Relationship with Angela - ,3,Normal,,1,1,50,1075.841797,1331.642578
Angela,26,1,,3,Angela,Angela,ANGELA,Family,,,,,,Family,Positive,,3,Normal,,1,1,51,7056.256348,3901.479004
Thor,26,2,Thor,101,Thor,Angela,THOR,Family,,,,,Family,Family,Positive,Relationship with Angela - ,3,Normal,,1,1,52,6834.759277,410.8025208
Ant-Man,27,1,,4,Ant-Man,Ant-Man,ANT-MAN,Rivals,,Rivals,,,,,Negative,,4,Normal,,1,1,53,8227.025391,9578.481445
Black Panther (Civil War),27,2,Black Panther (Civil War),9,Black Panther (Civil War),Ant-Man,BLACK PANTHER (CIVIL WAR),Rivals,Rivals,Rivals,,,,,Negative,Relationship with Ant-Man - ,4,Normal,,1,1,54,237.3180389,8316.924805
Ant-Man,28,1,,4,Ant-Man,Ant-Man,ANT-MAN,Biochemistry,,,,Biochemistry,,,Neutral,,4,Normal,,1,1,55,8227.025391,9578.481445
Doctor Octopus,28,2,Doctor Octopus,26,Doctor Octopus,Ant-Man,DOCTOR OCTOPUS,Biochemistry,,,Biochemistry,Biochemistry,,,Neutral,Relationship with Ant-Man - ,4,Normal,,1,1,56,1455.550659,5069.586426
Ant-Man,29,1,,4,Ant-Man,Ant-Man,ANT-MAN,Teammates,,,,,,Teammates,Positive,,4,Normal,,1,1,57,8227.025391,9578.481445
Falcon,29,2,Falcon,33,Falcon,Ant-Man,FALCON,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Ant-Man - ,4,Normal,,1,1,58,7942.243652,376.3567505
Ant-Man,30,1,,4,Ant-Man,Ant-Man,ANT-MAN,Friends,,,,,,Friends,Positive,,4,Normal,,1,1,59,8227.025391,9578.481445
Hulk,30,2,Hulk,45,Hulk,Ant-Man,HULK,Friends,,,,,Friends,Friends,Positive,Relationship with Ant-Man - ,4,Normal,,1,1,60,4651.433594,5910.624023
Ant-Man,31,1,,4,Ant-Man,Ant-Man,ANT-MAN,Teammates,,,,,,Teammates,Positive,,4,Normal,,1,1,61,8227.025391,9578.481445
Iron Man,31,2,Iron Man,52,Iron Man,Ant-Man,IRON MAN,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Ant-Man - ,4,Normal,,1,1,62,5553.242188,9557.666992
Ant-Man,32,1,,4,Ant-Man,Ant-Man,ANT-MAN,Teammates,,,,,,Teammates,Positive,,4,Normal,,1,1,63,8227.025391,9578.481445
Scarlet Witch,32,2,Scarlet Witch,87,Scarlet Witch,Ant-Man,SCARLET WITCH,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Ant-Man - ,4,Normal,,1,1,64,2563.034912,6798.385742
Ant-Man,33,1,,4,Ant-Man,Ant-Man,ANT-MAN,Science Research,,,,Science Research,,,Neutral,,4,Normal,,1,1,65,8227.025391,9578.481445
Sentinel,33,2,Sentinel,88,Sentinel,Ant-Man,SENTINEL,Science Research,,,Science Research,Science Research,,,Neutral,Relationship with Ant-Man - ,4,Normal,,1,1,66,6866.401855,3270.700928
Ant-Man,34,1,,4,Ant-Man,Ant-Man,ANT-MAN,Teammates,,,,,,Teammates,Positive,,4,Normal,,1,1,67,8227.025391,9578.481445
Spider-Man (Classic),34,2,Spider-Man (Classic),92,Spider-Man (Classic),Ant-Man,SPIDER-MAN (CLASSIC),Teammates,,,,,Teammates,Teammates,Positive,Relationship with Ant-Man - ,4,Normal,,1,1,68,2705.425537,9438.308594
Ant-Man,35,1,,4,Ant-Man,Ant-Man,ANT-MAN,Nemesis,,Nemesis,,,,,Negative,,4,Reciprocal,,1,1,69,8227.025391,9578.481445
Yellowjacket,35,2,Yellowjacket,117,Yellowjacket,Ant-Man,YELLOWJACKET,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Ant-Man - ,4,Reciprocal,,1,1,70,9302.867188,4976.137695
Archangel,36,1,,5,Archangel,Archangel,ARCHANGEL,Mutant Agenda,,,,,,Mutant Agenda,Positive,,5,Normal,,1,1,71,553.7420654,7032.006836
Beast,36,2,Beast,6,Beast,Archangel,BEAST,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Archangel - ,5,Normal,,1,1,72,7657.461914,9251.411133
Archangel,37,1,,5,Archangel,Archangel,ARCHANGEL,Teammates,,,,,,Teammates,Positive,,5,Normal,,1,1,73,553.7420654,7032.006836
Black Widow,37,2,Black Widow,10,Black Widow,Archangel,BLACK WIDOW,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Archangel - ,5,Normal,,1,1,74,3148.419189,2359.577148
Archangel,38,1,,5,Archangel,Archangel,ARCHANGEL,Mutant Agenda,,,,,,Mutant Agenda,Positive,,5,Normal,,1,1,75,553.7420654,7032.006836
Colossus,38,2,Colossus,18,Colossus,Archangel,COLOSSUS,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Archangel - ,5,Normal,,1,1,76,3369.91626,7102.093262
Archangel,39,1,,5,Archangel,Archangel,ARCHANGEL,Teammates,,,,,,Teammates,Positive,,5,Normal,,1,1,77,553.7420654,7032.006836
Ghost Rider,39,2,Ghost Rider,36,Ghost Rider,Archangel,GHOST RIDER,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Archangel - ,5,Normal,,1,1,78,6043.699219,6611.488281
Archangel,40,1,,5,Archangel,Archangel,ARCHANGEL,Mutant Agenda,,,,,,Mutant Agenda,Positive,,5,Normal,,1,1,79,553.7420654,7032.006836
Iceman,40,2,Iceman,49,Iceman,Archangel,ICEMAN,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Archangel - ,5,Normal,,1,1,80,8717.482422,4298.635742
Archangel,41,1,,5,Archangel,Archangel,ARCHANGEL,Mutant Agenda,,,,,,Mutant Agenda,Positive,,5,Normal,,1,1,81,553.7420654,7032.006836
Phoenix,41,2,Phoenix,77,Phoenix,Archangel,PHOENIX,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Archangel - ,5,Normal,,1,1,82,870.1661377,5233.121582
Archangel,42,1,,5,Archangel,Archangel,ARCHANGEL,Romance,,,,,,Romance,Positive,,5,Reciprocal,,1,1,83,553.7420654,7032.006836
Psylocke,42,2,Psylocke,78,Psylocke,Archangel,PSYLOCKE,Romance,,,,,Romance,Romance,Positive,Relationship with Archangel - ,5,Reciprocal,,1,1,84,6629.083984,3317.425293
Beast,43,1,,6,Beast,Beast,BEAST,Mutant Agenda,,,,,,Mutant Agenda,Positive,,6,Normal,,1,1,85,7657.461914,9251.411133
Archangel,43,2,Archangel,5,Archangel,Beast,ARCHANGEL,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Beast - ,6,Normal,,1,1,86,553.7420654,7032.006836
Beast,44,1,,6,Beast,Beast,BEAST,Masterminds,,,,Masterminds,,,Neutral,,6,Normal,,1,1,87,7657.461914,9251.411133
Black Panther,44,2,Black Panther,8,Black Panther,Beast,BLACK PANTHER,Masterminds,,,Masterminds,Masterminds,,,Neutral,Relationship with Beast - ,6,Normal,,1,1,88,5964.593262,7102.093262
Beast,45,1,,6,Beast,Beast,BEAST,Mutant Agenda,,,,,,Mutant Agenda,Positive,,6,Normal,,1,1,89,7657.461914,9251.411133
Colossus,45,2,Colossus,18,Colossus,Beast,COLOSSUS,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Beast - ,6,Normal,,1,1,90,3369.91626,7102.093262
Beast,46,1,,6,Beast,Beast,BEAST,Friends,,,,,,Friends,Positive,,6,Perfect,,1,1,91,7657.461914,9251.411133
Gambit,46,2,Gambit,34,Gambit,Beast,GAMBIT,Friends,,,,,Friends,Friends,Positive,Relationship with Beast - ,6,Perfect,,1,1,92,2214.968262,7873.044434
Beast,47,1,,6,Beast,Beast,BEAST,Enemies,,Enemies,,,,,Negative,,6,Normal,,1,1,93,7657.461914,9251.411133
Iron Patriot,47,2,Iron Patriot,53,Iron Patriot,Beast,IRON PATRIOT,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Beast - ,6,Normal,,1,1,94,316.4240417,2546.474365
Beast,48,1,,6,Beast,Beast,BEAST,Teammates,,,,,,Teammates,Positive,,6,Normal,,1,1,95,7657.461914,9251.411133
Karnak,48,2,Karnak,57,Karnak,Beast,KARNAK,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Beast - ,6,Normal,,1,1,96,3702.161377,2312.852783
Beast,49,1,,6,Beast,Beast,BEAST,Mutant Agenda,,,,,,Mutant Agenda,Positive,,6,Perfect,,1,1,97,7657.461914,9251.411133
Nightcrawler,49,2,Nightcrawler,75,Nightcrawler,Beast,NIGHTCRAWLER,Mutant Agenda,,,,,Mutant Agenda,Mutant Agenda,Positive,Relationship with Beast - ,6,Perfect,,1,1,98,4509.04248,2733.371582
Beast,50,1,,6,Beast,Beast,BEAST,Teammates,,,,,,Teammates,Positive,,6,Normal,,1,1,99,7657.461914,9251.411133
Phoenix,50,2,Phoenix,77,Phoenix,Beast,PHOENIX,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Beast - ,6,Normal,,1,1,100,870.1661377,5233.121582
Beast,51,1,,6,Beast,Beast,BEAST,Masterminds,,,,Masterminds,,,Neutral,,6,Normal,,1,1,101,7657.461914,9251.411133
Superior Iron Man,51,2,Superior Iron Man,98,Superior Iron Man,Beast,SUPERIOR IRON MAN,Masterminds,,,Masterminds,Masterminds,,,Neutral,Relationship with Beast - ,6,Normal,,1,1,102,648.6693115,2219.404297
Beast,52,1,,6,Beast,Beast,BEAST,It Ain't Easy,,,,It Ain't Easy,,,Neutral,,6,Normal,,1,1,103,7657.461914,9251.411133
Yondu,52,2,Yondu,118,Yondu,Beast,YONDU,It Ain't Easy,,,It Ain't Easy,It Ain't Easy,,,Neutral,Relationship with Beast - ,6,Normal,,1,1,104,8622.555664,4088.376221
Black Bolt,53,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Cosmic Supremacy,,,,Cosmic Supremacy,,,Neutral,,7,Normal,,1,1,105,3148.419189,3901.479004
Ms. Marvel (Kamala Khan),53,2,Ms. Marvel (Kamala Khan),73,Ms. Marvel (Kamala Khan),Black Bolt,MS. MARVEL (KAMALA KHAN),Cosmic Supremacy,,,Cosmic Supremacy,Cosmic Supremacy,,,Neutral,Relationship with Black Bolt - ,7,Normal,,1,1,106,5505.77832,2032.506958
Black Bolt,54,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Cosmic Supremacy,,,,Cosmic Supremacy,,,Neutral,,7,Perfect,,1,1,107,3148.419189,3901.479004
Ronan,54,2,Ronan,86,Ronan,Black Bolt,RONAN,Cosmic Supremacy,,,Cosmic Supremacy,Cosmic Supremacy,,,Neutral,Relationship with Black Bolt - ,7,Perfect,,1,1,108,8907.336914,9087.875977
Black Bolt,55,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Friends,,,,,,Friends,Positive,,7,Normal,,1,1,109,3148.419189,3901.479004
Spider-Man (Classic),55,2,Spider-Man (Classic),92,Spider-Man (Classic),Black Bolt,SPIDER-MAN (CLASSIC),Friends,,,,,Friends,Friends,Positive,Relationship with Black Bolt - ,7,Normal,,1,1,110,2705.425537,9438.308594
Black Bolt,56,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Friends,,,,,,Friends,Positive,,7,Normal,,1,1,111,3148.419189,3901.479004
Cyclops (New Xavier School),56,2,Cyclops (New Xavier School),21,Cyclops (New Xavier School),Black Bolt,CYCLOPS (NEW XAVIER SCHOOL),Friends,,,,,Friends,Friends,Positive,Relationship with Black Bolt - ,7,Normal,,1,1,112,4319.188477,1051.296753
Black Bolt,57,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Nemesis,,Nemesis,,,,,Negative,,7,Perfect,,1,1,113,3148.419189,3901.479004
Kang,57,2,Kang,56,Kang,Black Bolt,KANG,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Black Bolt - ,7,Perfect,,1,1,114,1123.30542,3808.030273
Black Bolt,58,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Rivals,,Rivals,,,,,Negative,,7,Normal,,1,1,115,3148.419189,3901.479004
Hulk,58,2,Hulk,45,Hulk,Black Bolt,HULK,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Black Bolt - ,7,Normal,,1,1,116,4651.433594,5910.624023
Black Bolt,59,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Family,,,,,,Family,Positive,,7,Reciprocal,,1,1,117,3148.419189,3901.479004
Karnak,59,2,Karnak,57,Karnak,Black Bolt,KARNAK,Family,,,,,Family,Family,Positive,Relationship with Black Bolt - ,7,Reciprocal,,1,1,118,3702.161377,2312.852783
Black Bolt,60,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Family,,,,,,Family,Positive,,7,Perfect,,1,1,119,3148.419189,3901.479004
Medusa,60,2,Medusa,67,Medusa,Black Bolt,MEDUSA,Family,,,,,Family,Family,Positive,Relationship with Black Bolt - ,7,Perfect,,1,1,120,6929.686523,2733.371582
Black Bolt,61,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Teammates,,,,,,Teammates,Positive,,7,Normal,,1,1,121,3148.419189,3901.479004
Doctor Strange,61,2,Doctor Strange,27,Doctor Strange,Black Bolt,DOCTOR STRANGE,Teammates,,,,,Teammates,Teammates,Positive,Relationship with Black Bolt - ,7,Normal,,1,1,122,3306.631348,1985.782715
Black Bolt,62,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Rivals,,Rivals,,,,,Negative,,7,Normal,,1,1,123,3148.419189,3901.479004
Quake,62,2,Quake,81,Quake,Black Bolt,QUAKE,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Black Bolt - ,7,Normal,,1,1,124,6106.984375,7639.422852
Black Bolt,63,1,,7,Black Bolt,Black Bolt,BLACK BOLT,Nemesis,,Nemesis,,,,,Negative,,7,Normal,,1,1,125,3148.419189,3901.479004
Magneto (Marvel Now!),63,2,Magneto (Marvel Now!),66,Magneto (Marvel Now!),Black Bolt,MAGNETO (MARVEL NOW!),Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Black Bolt - ,7,Normal,,1,1,126,6676.547363,9321.498047
Black Panther,64,1,,8,Black Panther,Black Panther,BLACK PANTHER,Rivals,,Rivals,,,,,Negative,,8,Perfect,,1,1,127,5964.593262,7102.093262
Iron Fist,64,2,Iron Fist,50,Iron Fist,Black Panther,IRON FIST,Rivals,Rivals,Rivals,,,,,Negative,Relationship with Black Panther - ,8,Perfect,,1,1,128,4603.969727,2733.371582
Black Panther,65,1,,8,Black Panther,Black Panther,BLACK PANTHER,Rivals,,Rivals,,,,,Negative,,8,Normal,,1,1,129,5964.593262,7102.093262
Iron Fist (Immortal),65,2,Iron Fist (Immortal),51,Iron Fist (Immortal),Black Panther,IRON FIST (IMMORTAL),Rivals,Rivals,Rivals,,,,,Negative,Relationship with Black Panther - ,8,Normal,,1,1,130,4809.645508,6985.282715
Black Panther,66,1,,8,Black Panther,Black Panther,BLACK PANTHER,Romance,,,,,,Romance,Positive,,8,Reciprocal,,1,1,131,5964.593262,7102.093262
Storm,66,2,Storm,97,Storm,Black Panther,STORM,Romance,,,,,Romance,Romance,Positive,Relationship with Black Panther - ,8,Reciprocal,,1,1,132,9160.476563,335.9421387
Black Panther,67,1,,8,Black Panther,Black Panther,BLACK PANTHER,Enemies,,Enemies,,,,,Negative,,8,Normal,,1,1,133,5964.593262,7102.093262
Deadpool,67,2,Deadpool,24,Deadpool,Black Panther,DEADPOOL,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Black Panther - ,8,Normal,,1,1,134,3543.949463,4228.548828
Black Panther,68,1,,8,Black Panther,Black Panther,BLACK PANTHER,Masterminds,,,,Masterminds,,,Neutral,,8,Normal,,1,1,135,5964.593262,7102.093262
Beast,68,2,Beast,6,Beast,Black Panther,BEAST,Masterminds,,,Masterminds,Masterminds,,,Neutral,Relationship with Black Panther - ,8,Normal,,1,1,136,7657.461914,9251.411133
Black Panther,69,1,,8,Black Panther,Black Panther,BLACK PANTHER,Skill Domination,,,,Skill Domination,,,Neutral,,8,Normal,,1,1,137,5964.593262,7102.093262
Black Panther (Civil War),69,2,Black Panther (Civil War),9,Black Panther (Civil War),Black Panther,BLACK PANTHER (CIVIL WAR),Skill Domination,,,Skill Domination,Skill Domination,,,Neutral,Relationship with Black Panther - ,8,Normal,,1,1,138,237.3180389,8316.924805
Black Panther,70,1,,8,Black Panther,Black Panther,BLACK PANTHER,Friends,,,,,,Friends,Positive,,8,Normal,,1,1,139,5964.593262,7102.093262
Guillotine,70,2,Guillotine,39,Guillotine,Black Panther,GUILLOTINE,Friends,,,,,Friends,Friends,Positive,Relationship with Black Panther - ,8,Normal,,1,1,140,7135.362305,5910.624023
Black Panther,71,1,,8,Black Panther,Black Panther,BLACK PANTHER,Enemies,,Enemies,,,,,Negative,,8,Normal,,1,1,141,5964.593262,7102.093262
War Machine,71,2,War Machine,113,War Machine,Black Panther,WAR MACHINE,Enemies,Enemies,Enemies,,,,,Negative,Relationship with Black Panther - ,8,Normal,,1,1,142,6122.805176,4228.548828
Black Panther (Civil War),72,1,,9,Black Panther (Civil War),Black Panther (Civil War),BLACK PANTHER (CIVIL WAR),Friends,,,,,,Friends,Positive,,9,Normal,,1,1,143,237.3180389,8316.924805
Vision (Age of Ultron),72,2,Vision (Age of Ultron),110,Vision (Age of Ultron),Black Panther (Civil War),VISION (AGE OF ULTRON),Friends,,,,,Friends,Friends,Positive,Relationship with Black Panther (Civil War) - ,9,Normal,,1,1,144,316.4240417,7288.990723
Black Panther (Civil War),73,1,,9,Black Panther (Civil War),Black Panther (Civil War),BLACK PANTHER (CIVIL WAR),Friends,,,,,,Friends,Positive,,9,Normal,,1,1,145,237.3180389,8316.924805
Black Widow,73,2,Black Widow,10,Black Widow,Black Panther (Civil War),BLACK WIDOW,Friends,,,,,Friends,Friends,Positive,Relationship with Black Panther (Civil War) - ,9,Normal,,1,1,146,3148.419189,2359.577148
Black Panther (Civil War),74,1,,9,Black Panther (Civil War),Black Panther (Civil War),BLACK PANTHER (CIVIL WAR),Nemesis,,Nemesis,,,,,Negative,,9,Normal,,1,1,147,237.3180389,8316.924805
Winter Soldier,74,2,Winter Soldier,114,Winter Soldier,Black Panther (Civil War),WINTER SOLDIER,Nemesis,Nemesis,Nemesis,,,,,Negative,Relationship with Black Panther (Civil War) - ,9,Normal,,1,1,148,1471.371826,8153.390137
